Data Fields,Particulars,Where we get Information in Prospectus,Heading,Sub- Heading,Answer
Fund Name,Name of the fund,Financial Highlights,Notes to Financial statements,Note1 - Organisation,The fund name cannot be found in the provided Financial Highlights.
Inception Date,The day when Fund becomes operational,Financial Highlights,Notes to Financial statements,Note1 - Organisation,I am unable to answer this question because the document does not contain the fund's inception date within the Financial Highlights section.
Benchmark,what will be the benchmark of the fund on the basis which performance would be calculated,Summary,Summary,Principal Risk of investing in the Trust,The fund seeks to track the performance of an index.
Investment Strategy,weather fund is going to be actively managed or going to replicate the index which is passive strategy,Summary,Summary,Principal Risk of investing in the Trust,"The fund seeks to track the performance of the Index (i.e., achieve a high degree of correlation with the Index)."
Lot Size,The fund Issue and redeem units in large lot sizes /creation units,Purchases and redemptions of creation units,Purchases and redemptions of creation units,,The fund issues and redeems units in large lot sizes/creation units.
Distributor Name,Underwriter of units/maintains record of creation unit orders,Purchases and redemptions of creation units,Purchases and redemptions of creation units,,The document does not explicitly state the Distributor Name in the context of purchases and redemptions of creation units.
Transaction Fee,Fee payable in connection with each creation and redemption of units,Purchases and redemptions of creation units,Purchase(Creation),Creation transaction fee,This document does not contain the fee payable in connection with each creation and redemption of units.
Accounting Basis,which accounting principles will the auditor follow,Report of independent registered public accounting firm,Report of independent registered public accounting firm,Summary of Significant Accounting Policies,"The document does not contain information about which accounting principles the auditor will follow; this information is expected to be found in the Report of independent registered public accounting firm, which is not included in the provided text."
Valuation Frequency,what is going to be frequency to determine the NAV of the fund,DETERMINATION OF NET ASSET VALUE,DETERMINATION OF NET ASSET VALUE,,I am unable to determine the valuation frequency from the provided text.
NAV Calculation Method,which price would be used to calculate the NAV of the fund,DETERMINATION OF NET ASSET VALUE,DETERMINATION OF NET ASSET VALUE,,The document does not contain information about which price would be used to calculate the NAV of the fund.
Expense Ratio / Management Fee,Different kinds expenses/fess bourne by the fund,In the summary section of the prospectus we will get this information,Summary,Fees and expenses of the trust,The provided document excerpts do not contain information about the fund's expense ratio or management fees.
Performance Fee Structure,Different kinds expenses/fess bourne by the fund,In the summary section of the prospectus we will get this information,Summary,Fees and expenses of the trust,The document provided does not contain information about the performance fee structure or different kinds of expenses/fees borne by the fund.
Dividend Policy,weather dividend earned from the fund's investments will be re-invested in the fund or will be distributed back to the investors,dividends and distributions,dividends and distributions,No dividend re-investment service,The document does not provide information on whether dividends earned from the fund's investments will be reinvested in the fund or distributed back to the investors.
Custodian / Trustee,who would safeguard the assets of the fund,Federal Income Taxes,Federal Income Taxes,Transactions with Affiliates of the Trustee and Sponsor,"I am sorry, but this document excerpt does not contain the answer to who would safeguard the assets of the fund."
Fund Administrator,Authority who will be appointed as the fund Administrator,Federal Income Taxes,Federal Income Taxes,Transactions with Affiliates of the Trustee and Sponsor,The provided document excerpt does not contain information about who will be appointed as the Fund Administrator; it only discusses Federal Income Taxes.
Auditor,Name of firm who will audit the financial statement of the fund,Report of independent registered public accounting firm,Report of independent registered public accounting firm,Basis of opinion,"The provided document excerpt does not contain the name of the firm who will audit the financial statement of the fund, nor does it contain the phrase ""Report of independent registered public accounting firm""."
Investment Objective,The risk and return objective of the fund .,In the summary section of the prospectus we will get this information,Summary,Investment Objective,"I am unable to extract the investment objective, as it is expected to be found in the summary section of the prospectus, which is not provided in the document content."
Investment Strategy,Active /Passive,Summary,Principal Risks of Investing in the Trust,Passive Strategy/Index Risk,The document does not specify whether the investment strategy is active or passive.
Leverage Policy,borrow money and then make investments,ADDITIONAL INFORMATION REGARDING DIVIDENDS AND DISTRIBUTIONS,investment restrcitions,,"I am sorry, but I cannot answer the question about the fund's leverage policy because the provided document excerpts do not contain information about borrowing money and making investments in the ""ADDITIONAL INFORMATION REGARDING DIVIDENDS AND DISTRIBUTIONS"" section or any other section."
Use of Derivatives,Investment in derivatives is allowed or not,ADDITIONAL INFORMATION REGARDING DIVIDENDS AND DISTRIBUTIONS,investment restrcitions,,"Investment in derivatives is allowed, as the fund may purchase or sell futures contracts on fixed-income securities, or options on those futures, and may also enter into other derivatives transactions."
Initial/Minimum Investment,For operations to start the initial no. of units required,Financial Highlights,Notes to Financial statements,Note1 - Organisation,"To establish an account, the initial investment is $2,000 for Class A, and None for Class I and Class K."
Transfer Agent Details,party who will account for all the transaction of the fund,Federal Income Taxes,Federal Income Taxes,Transactions with Affiliates of the Trustee and Sponsor,"Written requests should be sent to State Street Funds for purchase orders or redemption requests, but the Funds do not consider the U.S. Postal Service or other independent delivery services to be their agents."
Subscription / Redemption Rules,Subscription and redemption rules ,PURCHASES AND REDEMPTIONS OF CREATION UNITS,"Purchase (Creation) and Redemption 
",,You may purchase or redeem Fund Shares on any day the Fund is open for business by written request or wire transfer.
Load Fees,Fees bourne by investors while purchasing the units,Summary,Fees and Expenses of the Trust,,The document does not contain information about load fees.
Regulatory Authority,REgulatory reporting of the fund,EXCHANGE LISTING AND TRADING,EXCHANGE LISTING AND TRADING,CONTINUOUS OFFERING OF UNITS,"I am sorry, but I am unable to answer this question, as the provided document content does not contain information about the regulatory authority of the fund, nor does it mention ""EXCHANGE LISTING AND TRADING""."
Investment Restrictions,Certain investment restrictions / not authorized to invest ,Additional  information regarding  dividend and distributions,Additional  information regarding  dividend and distributions,Investment restrictions,The document does not contain information regarding investment restrictions in the section specified.
Taxation Authority,fund will comply to which taxation authority,Federal Income Taxes,Federal Income Taxes,Taxation of the Trust,The fund will comply with Federal Income Taxes.
Risk Limits,any kind concentration limits or restrcitions,ADDITIONAL INFORMATION REGARDING DIVIDENDS AND DISTRIBUTIONS,investment restrcitions,,"I am sorry, but I cannot answer the question because the provided document content does not contain the requested information about risk limits in the ADDITIONAL INFORMATION REGARDING DIVIDENDS AND DISTRIBUTIONS section."
Performance Reporting,which reporting standard would fund ,Financial Highlights,Notes to Financial statements,Note 2 â€” Summary of Significant Accounting Policies,"I am sorry, but I cannot answer the question as I cannot find the requested information about performance reporting standard in the context provided."
